공원명,지역,면적,경도,위도,분류,크기
발바닥공원,도봉구,7000.0,127.03198200000001,37.6597135,소형,3
월천근린공원,도봉구,10712.0,127.0509895,37.647388899999996,소형,3
용두근린공원,동대문구,17182.0,127.03900420000001,37.5732791,소형,3
상암근린공원,마포구,1603493.0,126.8859012,37.576010600000004,대형,15
와우근린공원,마포구,874324.0,126.9289936,37.5517298,중형,7
금호근린공원,성동구,13467.0,127.01894569999999,37.5494726,소형,3
달맞이근린공원,성동구,46871.0,127.0212054,37.543564,소형,3
문정근린공원,송파구,49972.0,127.12758190000001,37.4862156,소형,3
문화예술공원,서초구,74385.0,127.03051699999999,37.467653999999996,소형,3
세종로공원,종로구,8868.0,126.9758875,37.5735,소형,3
샘말공원(관악산),관악구,10634.0,126.938511,37.4642128,소형,3
초안산생태공원,도봉구,22113.0,127.0405382,37.647948299999996,소형,3
푸른수목원,구로구,0.0,126.82406999999999,37.483028999999995,소형,3
서오능도시자연공원,은평구,1082847.0,126.91343379999999,37.637482299999995,대형,15
청계산도시자연공원,서초구,3692455.0,127.0424726,37.422434700000004,대형,15
개화근린공원,강서구,386500.0,126.8068278,37.581391700000005,중형,7
아차산생태공원,광진구,23450.0,127.1010031,37.551714200000006,소형,3
인능산도시자연공원,서초구,2400833.0,127.0666632,37.4482109,대형,15
구룡산,서초구,2752421.0,127.061567,37.468947299999996,대형,15
우면산도시자연공원,서초구,4180551.0,127.0091324,37.470484,대형,15
향림근린공원,은평구,147859.0,126.9240693,37.6293824,중형,7
신사근린공원,은평구,111650.0,126.91029479999999,37.5920771,중형,7
문화역 서울284,중구,0.0,126.9715923,37.5558722,소형,3
광평근린공원,강남구,519782.0,127.092184,37.4880445,중형,7
청담근린공원,강남구,59347.0,127.052453,37.521325899999994,소형,3
허브천문공원,강동구,25500.0,127.15339509999998,37.5372715,소형,3
연신내물빛공원,은평구,2560.0,126.9207354,37.619052,소형,3
나들이근린공원,중랑구,32000.0,127.11326100000001,37.6054218,소형,3
숭인근린공원,종로구,45615.0,127.0178267,37.5764419,소형,3
서일대뒷산공원,중랑구,631021.0,127.0987817,37.5877155,중형,7
용마도시자연공원(사가정공원),중랑구,109635.0,127.095997,37.579762200000005,중형,7
문화비축기지,마포구,140022.0,126.8932455,37.57171848,중형,7
율현공원,강남구,157535.0,127.11559399999999,37.472332,중형,7
